"","id","v3_1","v3_2","v3_3","a1b1","a1c1","a1d1","a1e1","a2","a3","a4a","b3","b5a","b11a2","c5a1","d4a","d4b","d4c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","socialLevel","incomePer","incomeFam","occ","occR","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"92",108,22,28,104,2,1970,2,3,1,4,1,4,NA,-8,20000,3,1,1,4,4,4,2021,4,1,1,51,3,1,1,1,1,0,3,NA,20000,NA,NA,4,4,4,1,1,1
"93",110,22,28,104,2,1959,2,2,1,4,1,NA,NA,-8,45000,3,3,3,3,3,3,2021,4,1,1,62,3,1,1,1,1,0,3,NA,45000,NA,NA,3,3,3,1,1,1
"94",112,22,7,107,1,1972,2,1,1,4,1,4,NA,-8,40000,3,5,-1,4,4,2,2021,4,1,0,49,2,0,1,1,1,0,3,NA,40000,NA,NA,4,4,2,1,1,0
"95",113,22,7,107,2,1957,1,2,1,4,1,NA,NA,-8,10000,5,5,5,4,-1,-1,2021,4,1,1,64,3,1,1,0,1,0,5,NA,10000,NA,NA,4,-1,-1,1,0,0
"96",114,22,7,107,1,1971,3,4,1,4,1,4,NA,-8,15000,4,4,3,4,4,4,2021,4,1,0,50,3,0,1,2,1,0,4,NA,15000,NA,NA,4,4,4,1,1,1
"97",116,22,7,107,2,1955,1,2,1,4,1,4,NA,-8,35000,5,5,5,4,4,4,2021,4,1,1,66,3,1,1,0,1,0,5,NA,35000,NA,NA,4,4,4,1,1,1
"98",117,22,28,104,1,1999,3,1,1,2,1,3,4,5000,15000,5,5,3,4,4,4,2021,4,1,0,22,1,0,1,2,1,0,5,5000,15000,4,1,4,4,4,1,1,1
"99",118,22,28,104,2,1955,1,2,1,4,1,NA,NA,-8,-1,4,5,4,4,4,4,2021,4,1,1,66,3,1,1,0,1,0,4,NA,NA,NA,NA,4,4,4,1,1,1
"100",119,22,7,107,2,1953,2,2,1,4,1,4,NA,-8,18000,3,4,3,3,3,3,2021,4,1,1,68,3,1,1,1,1,0,3,NA,18000,NA,NA,3,3,3,1,1,1
"101",120,22,7,107,1,1966,2,2,1,4,1,4,NA,-8,40000,3,4,-1,3,3,3,2021,4,1,0,55,3,1,1,1,1,0,3,NA,40000,NA,NA,3,3,3,1,1,1
"102",121,22,7,107,1,1956,2,2,1,4,1,4,NA,-8,90000,3,3,2,4,4,2,2021,4,1,0,65,3,1,1,1,1,0,3,NA,90000,NA,NA,4,4,2,1,1,0
"103",122,22,28,101,2,1973,4,2,1,4,2,1,7,-8,40000,4,5,5,4,3,2,2021,4,1,1,48,2,1,0,3,1,0,4,NA,40000,7,0,4,3,2,1,1,0
"104",123,22,7,107,2,1957,3,3,1,4,1,4,NA,-8,-1,5,5,5,3,1,1,2021,4,1,1,64,3,1,1,2,1,0,5,NA,NA,NA,NA,3,1,1,1,0,0
"105",124,22,7,107,1,1963,2,2,1,4,1,4,NA,-8,50000,3,3,3,2,3,3,2021,4,1,0,58,3,1,1,1,1,0,3,NA,50000,NA,NA,2,3,3,0,1,1
"106",125,22,7,107,1,1960,2,2,1,4,1,4,NA,-8,30000,3,3,3,4,4,4,2021,4,1,0,61,3,1,1,1,1,0,3,NA,30000,NA,NA,4,4,4,1,1,1
"107",126,22,7,107,2,1955,1,5,1,4,1,4,NA,-8,16600,5,5,5,4,4,4,2021,4,1,1,66,3,0,1,0,1,0,5,NA,16600,NA,NA,4,4,4,1,1,1
"108",127,22,28,104,2,1960,1,2,1,4,1,4,NA,-8,50000,3,5,-1,3,3,3,2021,4,1,1,61,3,1,1,0,1,0,3,NA,50000,NA,NA,3,3,3,1,1,1
"109",128,22,28,104,2,1965,2,3,1,4,1,NA,NA,-8,7140,-1,-1,-1,-1,-1,4,2021,4,1,1,56,3,1,1,1,1,0,-1,NA,7140,NA,NA,-1,-1,4,0,0,1
"110",129,22,28,104,2,1997,3,2,1,4,1,1,10,1e+05,250000,2,3,2,2,2,2,2021,4,1,1,24,1,1,1,2,1,0,2,1e+05,250000,10,0,2,2,2,0,0,0
"111",130,22,28,104,2,1990,3,2,1,2,1,NA,NA,-8,-1,3,3,3,4,4,4,2021,4,1,1,31,2,1,1,2,1,0,3,NA,NA,NA,NA,4,4,4,1,1,1
"112",131,22,28,101,2,1965,3,5,1,4,1,NA,NA,-8,20000,2,2,2,3,3,3,2021,4,1,1,56,3,0,1,2,1,0,2,NA,20000,NA,NA,3,3,3,1,1,1
"113",132,22,17,98,1,1971,2,2,1,4,1,4,NA,-8,58000,3,5,3,4,3,3,2021,4,1,0,50,3,1,1,1,1,0,3,NA,58000,NA,NA,4,3,3,1,1,1
"114",133,22,17,98,2,1968,3,2,1,4,1,4,NA,-8,101000,4,4,3,4,2,2,2021,4,1,1,53,3,1,1,2,1,0,4,NA,101000,NA,NA,4,2,2,1,0,0
"115",134,22,28,104,1,1956,3,5,1,4,1,NA,NA,2000,30000,5,5,2,4,4,4,2021,4,1,0,65,3,0,1,2,1,0,5,2000,30000,NA,NA,4,4,4,1,1,1
"116",135,22,28,104,1,1968,1,2,1,4,1,NA,NA,-8,30000,5,5,5,4,4,4,2021,4,1,0,53,3,1,1,0,1,0,5,NA,30000,NA,NA,4,4,4,1,1,1
"117",136,22,28,104,2,1963,4,2,1,4,1,NA,NA,-8,40000,3,4,3,4,4,4,2021,4,1,1,58,3,1,1,3,1,0,3,NA,40000,NA,NA,4,4,4,1,1,1
"118",137,22,17,98,1,1967,3,2,1,4,1,4,NA,-8,-1,3,3,-1,4,4,4,2021,4,1,0,54,3,1,1,2,1,0,3,NA,NA,NA,NA,4,4,4,1,1,1
"119",138,22,17,98,2,1977,3,2,3,4,3,4,NA,-8,31800,5,5,2,3,3,3,2021,4,1,1,44,2,1,0,2,0,0,5,NA,31800,NA,NA,3,3,3,1,1,1
"120",139,22,17,98,2,1971,2,2,1,4,1,4,NA,-8,83000,4,3,3,4,4,3,2021,4,1,1,50,3,1,1,1,1,0,4,NA,83000,NA,NA,4,4,3,1,1,1
"121",140,22,17,98,1,1966,1,2,1,4,1,4,NA,-8,36000,3,5,3,3,1,1,2021,4,1,0,55,3,1,1,0,1,0,3,NA,36000,NA,NA,3,1,1,1,0,0
"122",141,22,28,101,1,1970,3,2,1,4,2,1,7,-8,36000,4,4,4,4,3,3,2021,4,1,0,51,3,1,0,2,1,0,4,NA,36000,7,0,4,3,3,1,1,1
"123",142,22,28,101,1,1995,7,1,1,2,2,1,7,36000,220000,4,5,3,3,3,2,2021,4,1,0,26,1,0,0,4,1,0,4,36000,220000,7,0,3,3,2,1,1,0
"124",143,22,17,98,2,1971,2,3,1,4,3,4,NA,-8,15000,3,5,3,4,4,4,2021,4,1,1,50,3,1,0,1,1,0,3,NA,15000,NA,NA,4,4,4,1,1,1
"125",144,22,17,98,1,1960,4,2,1,4,1,4,NA,-8,30000,2,2,1,4,4,4,2021,4,1,0,61,3,1,1,3,1,0,2,NA,30000,NA,NA,4,4,4,1,1,1
"126",145,22,17,98,2,1974,3,2,1,4,1,3,2,-8,-2,3,4,2,4,4,4,2021,4,1,1,47,2,1,1,2,1,0,3,NA,NA,2,1,4,4,4,1,1,1
