"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2346",2346,"江苏省",1,9,75,1,3,6,6,1,2,"11",6,5,2019,1,1,0,75,4,1,6,NA,1,1,6,0,"11","0",6,5,1,1
"2347",2347,"江苏省",2,1,48,1,2,4,8,1,2,"10",6,5,2019,1,1,1,48,2,1,8,1,1,0,4,0,"10","0",6,5,1,1
"2348",2348,"江苏省",2,1,59,1,2,4,8,1,2,"9",6,5,2019,1,1,1,59,3,1,8,1,1,0,4,0,"9","1",6,5,1,1
"2349",2349,"江苏省",2,1,31,1,5,9,NA,1,2,"11",5,4,2019,1,1,1,31,2,1,NA,1,1,2,9,0,"11","0",5,4,1,0
"2350",2350,"江苏省",2,1,50,1,3,6,8,1,2,"10",6,5,2019,1,1,1,50,3,1,8,1,1,1,6,0,"10","0",6,5,1,1
"2351",2351,"江苏省",2,1,40,1,3,6,8,1,2,"9",6,5,2019,1,1,1,40,2,1,8,1,1,1,6,0,"9","1",6,5,1,1
"2352",2352,"江苏省",1,1,50,1,1,7,6,1,2,"11",6,1,2019,1,1,0,50,3,1,6,1,1,0,7,0,"11","0",6,1,1,0
"2353",2353,"江苏省",2,1,54,1,0,7,NA,1,2,"11",6,5,2019,1,1,1,54,3,1,NA,1,1,0,7,0,"11","0",6,5,1,1
"2354",2354,"江苏省",2,1,65,1,2,3,5,1,2,"11",6,2,2019,1,1,1,65,3,1,5,1,1,0,3,0,"11","0",6,2,1,0
"2355",2355,"江苏省",1,1,74,1,5,6,9,1,2,"11",6,4,2019,1,1,0,74,4,1,9,1,1,2,6,0,"11","0",6,4,1,0
"2356",2356,"江苏省",1,1,39,1,5,7,5,1,2,NA,6,1,2019,1,1,0,39,2,1,5,1,1,2,7,0,NA,NA,6,1,1,0
"2357",2357,"江苏省",2,1,46,1,5,9,7,1,2,"11",6,5,2019,1,1,1,46,2,1,7,1,1,2,9,0,"11","0",6,5,1,1
"2358",2358,"江苏省",2,1,65,1,0,7,NA,1,2,"11",6,3,2019,1,1,1,65,3,1,NA,1,1,0,7,0,"11","0",6,3,1,0
"2359",2359,"江苏省",1,1,69,1,6,11,6,1,2,"2",6,5,2019,1,1,0,69,3,1,6,1,1,2,11,0,"2","1",6,5,1,1
"2360",2360,"江苏省",1,1,40,1,5,9,8,1,2,"11",6,4,2019,1,1,0,40,2,1,8,1,1,2,9,0,"11","0",6,4,1,0
"2361",2361,"江苏省",1,1,19,1,7,14,5,2,1,"11",6,5,2019,1,1,0,19,1,0,5,1,1,3,14,0,"11","0",6,5,1,1
"2362",2362,"江苏省",1,1,71,1,7,12,8,1,2,"2",6,5,2019,1,1,0,71,4,1,8,1,1,3,12,0,"2","1",6,5,1,1
"2363",2363,"江苏省",2,1,56,1,3,6,7,1,2,"11",6,5,2019,1,1,1,56,3,1,7,1,1,1,6,0,"11","0",6,5,1,1
"2364",2364,"江苏省",2,1,29,1,4,8,8,1,2,"11",6,5,2019,1,1,1,29,1,1,8,1,1,1,8,0,"11","0",6,5,1,1
"2365",2365,"江苏省",2,1,66,1,3,6,5,1,2,"11",6,3,2019,1,1,1,66,3,1,5,1,1,1,6,0,"11","0",6,3,1,0
"2366",2366,"江苏省",2,1,38,1,5,9,5,1,2,NA,6,4,2019,1,1,1,38,2,1,5,1,1,2,9,0,NA,NA,6,4,1,0
"2367",2367,"江苏省",1,1,64,1,6,12,7,1,2,"11",6,5,2019,1,1,0,64,3,1,7,1,1,2,12,0,"11","0",6,5,1,1
"2368",2368,"江苏省",2,1,36,1,5,9,5,1,2,"11",6,6,2019,1,1,1,36,2,1,5,1,1,2,9,0,"11","0",6,6,1,1
"2369",2369,"江苏省",1,1,20,1,7,12,6,2,1,"8",6,5,2019,1,1,0,20,1,0,6,1,1,3,12,0,"8","0",6,5,1,1
"2370",2370,"江苏省",1,1,58,1,5,9,6,1,2,"10",6,5,2019,1,1,0,58,3,1,6,1,1,2,9,0,"10","0",6,5,1,1
"2371",2371,"江苏省",1,1,32,1,2,3,4,1,2,"11",5,NA,2019,1,1,0,32,2,1,4,1,1,0,3,0,"11","0",5,NA,1,NA
"2372",2372,"江苏省",1,3,23,1,7,12,7,1,2,"8",6,5,2019,1,1,0,23,1,1,7,0,1,3,12,0,"8","0",6,5,1,1
"2373",2373,"江苏省",1,1,29,1,9,16,7,3,1,"8",6,5,2019,1,1,0,29,1,0,7,1,1,4,16,1,"8","0",6,5,1,1
"2374",2374,"江苏省",2,2,32,1,5,9,6,1,2,NA,6,5,2019,1,1,1,32,2,1,6,0,1,2,9,0,NA,NA,6,5,1,1
"2375",2375,"江苏省",2,1,54,1,5,9,6,1,2,"11",6,5,2019,1,1,1,54,3,1,6,1,1,2,9,0,"11","0",6,5,1,1
"2376",2376,"江苏省",1,2,37,1,8,15,7,1,2,"10",6,5,2019,1,1,0,37,2,1,7,0,1,3,15,0,"10","0",6,5,1,1
"2377",2377,"江苏省",1,2,37,1,7,12,8,1,2,"8",6,6,2019,1,1,0,37,2,1,8,0,1,3,12,0,"8","0",6,6,1,1
"2378",2378,"江苏省",2,1,65,1,3,6,7,1,2,"11",6,3,2019,1,1,1,65,3,1,7,1,1,1,6,0,"11","0",6,3,1,0
"2379",2379,"江苏省",2,2,32,1,9,16,7,2,2,"10",6,5,2019,1,1,1,32,2,1,7,0,1,4,16,0,"10","0",6,5,1,1
"2380",2380,"江苏省",1,2,45,1,6,12,6,2,2,"4",6,6,2019,1,1,0,45,2,1,6,0,1,2,12,0,"4","0",6,6,1,1
"2381",2381,"江苏省",2,2,47,1,6,11,7,1,2,"9",6,5,2019,1,1,1,47,2,1,7,0,1,2,11,0,"9","1",6,5,1,1
"2382",2382,"江苏省",1,2,38,1,5,9,5,1,2,"10",6,6,2019,1,1,0,38,2,1,5,0,1,2,9,0,"10","0",6,6,1,1
"2383",2383,"江苏省",1,2,47,1,7,12,5,1,5,"10",6,4,2019,1,1,0,47,2,0,5,0,1,3,12,0,"10","0",6,4,1,0
"2384",2384,"江苏省",2,1,69,1,3,6,5,1,2,"11",6,3,2019,1,1,1,69,3,1,5,1,1,1,6,0,"11","0",6,3,1,0
"2385",2385,"江苏省",2,1,78,1,6,11,6,1,4,"11",6,5,2019,1,1,1,78,4,0,6,1,1,2,11,0,"11","0",6,5,1,1
